reference,tagged_entity,start_pos,topostext_id
2.91.1,Halicarnassus,108,370274PHal
2.91.1,Myndus,134,371272UMyn
2.91.1,Miletus,166,375273PMil
2.91.1,Hybanda,206,376274IHyb
2.91.1,Ephesus,276,379273PEph
2.91.1,Magnesia,337,397227RMag
2.91.1,Epidaurus,375,376232PEpi
2.91.1,Oricum,389,403195UOri
2.92.1,Acarnania,223,388210RAka
2.92.1,Ambracian Gulf,248,390210WAmb
2.92.1,Achaea,264,382219RAch
2.92.1,Gulf of Corinth,278,382226WCor
2.92.1,Propontis,318,408280WPro
2.92.1,Black Sea,336,435335WPon
2.92.1,Leucas,385,387207PLeu
2.92.1,Antirrhium,393,383218LAnt
2.92.1,Dardanelles,409,402264WHel
2.93.1,Caria,110,370287RKar
2.93.1,Sipylus,163,386275LSip
2.93.1,Magnesia,174,397227RMag
2.93.1,Gamale,305,329357UGam
2.93.1,Phoenicia,315,335354RPho
2.93.1,Ethiopia,388,130350REth
2.94.1,Black Sea,4,435335WPon
2.94.1,Maeotis,72,460370WMai
2.94.1,Gulf of Corinth,85,382226WCor
2.94.1,Helice,101,382221PHel
2.94.1,Bura,112,381222PBou
2.94.1,Ceos,286,376243IKeo
2.94.1,Tyndaris,313,381150PTyn
2.94.1,Sicily,325,376145RSic
2.94.1,Italy,365,406163RIta
2.94.1,Eleusis,386,380235PEle
2.94.1,Boeotia,397,384233RBoi
2.95.1,Rome,1048,419125PRom
2.95.1,Sinuessa,1150,411139USin
2.95.1,Pozzuoli,1166,408141PDik
2.95.1,Hierapolis,1418,379291PHie
2.95.1,Delphi,1606,385225SDel
2.96.1,Gabii,73,419127UGab
2.96.1,Rome,109,419125PRom
2.96.1,Reate,189,424129URea
2.96.1,Reate,279,424129URea
2.96.1,Modena,305,446109UMut
2.96.1,Vadimon,339,425123WVad
2.96.1,Lydia,471,385280RLyd
2.96.1,Nymphaion,704,418196HNym
2.96.1,Italy,873,406163RIta
2.97.1,Paphos,0,347326PPal
2.97.1,shrine of Venus,26,348326SAPa
2.97.1,Nea,156,397263UNea
2.97.1,Troad,167,399263RTro
2.98.1,Harpasa,17,378284UHar
2.98.1,Assos,275,395263UAss
2.98.1,Troad,288,399263RTro
2.98.1,Indus,421,254683WInd
2.98.1,Locri,722,382162PLoc
2.98.1,Croton,732,391171PCro
2.98.1,Lycia,796,365295RLyc
2.98.1,Arpi,881,415156UArg
2.98.1,Veii,953,420124UVei
2.98.1,Tusculum,965,418127UTus
2.98.1,Crustuminum,1093,420126UCru
2.99.3,Britain,436,530-15IBri
2.99.3,Italy,684,406163RIta
2.99.3,Utica,693,371101UUti
2.99.3,Syrtes,1140,314186WSyr
2.100.1,Taormina,79,379153PTau
2.100.1,Euboea,140,385239IEub
2.100.1,Cadiz,296,365-063PGad
2.100.2,Baetis,36,374-60WBae
2.100.2,Hispalis,156,374000UHis
2.100.2,Black Sea,268,435335WPon
2.100.2,Propontis,304,408280WPro
2.100.2,Black Sea,352,435335WPon
2.101.1,Messina,86,382156PMes
2.101.1,Mylae,98,382152PMyl
2.103.1,Sicily,774,376145RSic
2.105.1,Black Sea,139,435335WPon
2.105.1,Black Sea,197,435335WPon
2.106.1,Lake Fucinus,454,420135WFuc
2.106.1,Como,500,45891UCom
2.106.1,Ticinus,511,452091WTic
2.106.1,Rhone,605,437046WRho
2.106.1,Lemannus,614,465066WLem
2.106.1,Alps,646,441073LAlp
2.106.1,Italy,672,406163RIta
2.106.1,Orontes,856,361360WOro
2.106.1,Syria,867,355390RSyr
2.106.1,Arethusa,999,371153WAre
2.106.1,Syracuse,1011,371153PSyr
2.106.1,Alpheus,1075,376215WAlp
2.106.1,Olympia,1103,376216SOly
2.106.1,Peloponnese,1140,375222RPel
2.106.1,Lycus,1234,379291WLyc
2.106.1,Erasinus,1253,377227WEra
2.106.1,Argolid,1269,374229RArg
2.106.1,Tigris,1285,346437WTig
2.106.1,Athens,1361,380237PAth
2.106.1,Phaleron,1392,379237DPha
2.106.1,Aquileia,1543,458134UAqu
2.106.1,Asphaltis,1561,315355WAsp
2.106.1,Judea,1574,316353UIud
2.106.1,Armenia,1659,397443RArm
2.106.1,Manduria,1748,404176UMan
2.106.1,Veline Lake,1936,425127WVel
2.106.1,Picenum,1951,430135RPic
2.106.1,Colchis,2049,431423RCol
2.106.1,Sorrentum,2171,406144USur
2.106.1,Reate,2347,424129URea
2.106.1,Red Sea,2399,195390WEry
2.106.2,Alps,118,441073LAlp
2.106.2,Baiae,177,408141PBai
2.106.2,Italy,191,406163RIta
2.106.2,Ischia,215,408139IPit
2.106.2,Liris,240,412138WLir
2.106.2,Chelidoniae,343,362304IChe
2.106.2,Aradus,370,349359PAra
2.106.2,Cadiz,396,365-063PGad
2.106.2,Pisa,475,437104UPis
2.106.2,Vetulonia,491,429110UVet
2.106.2,Etruria,504,430105RTyr
2.106.2,Casinum,553,415138UCas
2.106.2,Stymphalis,658,379225PSty
2.106.2,Arcadia,672,375223RArk
2.106.2,Dodona,708,395208SDod
2.106.2,Illyria,1046,405195RIll
2.106.2,Ammon,1117,292255SAmm
2.106.2,Trogodytis,1168,195372RTro
2.106.2,Po,1376,450120WEri
2.106.2,Tenedos,1464,398261ITen
2.106.2,Delos,1563,374253PDel
2.106.2,Nile,1607,312301WNil
2.106.2,Apennines,1821,425136LApe
